from;B-ch4;B-ch4-boiler_large;BB-ch4;BB-ch4-boiler_large;B-ch4;B-ch4-boiler_small;BB-ch4;BB-ch4-boiler_small;B-ch4;B-ch4-gt;BB-ch4;BB-ch4-gt;B-electricity;B-electricity-electrolyzer;BB-electricity;BB-electricity-electrolyzer;B-electricity;B-electricity-heatpump_large;BB-electricity;BB-electricity-heatpump_large;B-electricity;B-electricity-heatpump_small;BB-electricity;BB-electricity-heatpump_small;B-electricity;B-electricity-pth;BB-electricity;BB-electricity-pth;B-h2;B-h2-gt;BB-h2;BB-h2-gt
to;B-ch4-boiler_large;B-heat_central;BB-ch4-boiler_large;BB-heat_central;B-ch4-boiler_small;B-heat_decentral;BB-ch4-boiler_small;BB-heat_decentral;B-ch4-gt;B-electricity;BB-ch4-gt;BB-electricity;B-electricity-electrolyzer;B-h2;BB-electricity-electrolyzer;BB-h2;B-electricity-heatpump_large;B-heat_central;BB-electricity-heatpump_large;BB-heat_central;B-electricity-heatpump_small;B-heat_decentral;BB-electricity-heatpump_small;BB-heat_decentral;B-electricity-pth;B-heat_central;BB-electricity-pth;BB-heat_central;B-h2-gt;B-electricity;BB-h2-gt;BB-electricity
type;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow
2017-01-01 00:00:00;552.75884;574.86919;12.17616;12.663207;423.25259;419.02007;277.42417;274.64993;0.0;0.0;0.0;0.0;544.57199;408.429;2092.4057;1569.3043;72.119953;396.65974;1.5886569;8.7376127;201.26534;544.72609;488.86369;1345.7847;0.0;0.0;-8.4023491e-16;-8.3183256e-16;0.0;0.0;0.0;0.0
2017-01-01 01:00:00;573.95624;596.91449;12.17616;12.663207;435.34755;430.99408;329.14557;325.85411;0.0;0.0;0.0;0.0;544.57199;408.429;2309.5607;1732.1705;74.885636;411.871;1.5886569;8.7376127;207.29599;560.2923;581.45336;1596.6851;0.0;0.0;-8.4023491e-16;-8.3183256e-16;0.0;0.0;0.0;0.0
2017-01-01 02:00:00;580.24196;603.45164;12.17616;12.663207;434.00958;429.66949;328.14561;324.86415;0.0;0.0;0.0;0.0;544.57199;408.429;2681.6005;2011.2004;75.705751;416.38163;1.5886569;8.7376127;206.67262;558.57033;581.35741;1591.8343;0.0;0.0;-8.4023491e-16;-8.3183256e-16;0.0;0.0;0.0;0.0
2017-01-01 03:00:00;634.09496;659.45876;12.17616;12.663207;485.4246;480.57035;368.23373;364.55139;0.0;0.0;0.0;0.0;544.57199;408.429;2782.2112;2086.6584;82.732099;455.02654;1.5886569;8.7376127;231.37899;624.74146;653.61417;1786.3018;0.0;0.0;-8.4023491e-16;-8.3183256e-16;0.0;0.0;0.0;0.0
2017-01-01 04:00:00;764.11091;794.67534;12.17616;12.663207;572.8656;567.13695;431.3911;427.07719;0.0;0.0;0.0;0.0;544.57199;408.429;3342.2918;2506.7189;99.695634;548.32599;1.5886569;8.7376127;272.97148;737.27803;769.54643;2092.6782;0.0;0.0;-8.4023491e-16;-8.3183256e-16;0.0;0.0;0.0;0.0
2017-01-01 05:00:00;1088.9301;1132.4873;12.17616;12.663207;779.25806;771.46548;589.54882;583.65333;0.0;0.0;0.0;0.0;544.57199;408.429;3535.2667;2651.45;142.07568;781.41622;1.5886569;8.7376127;373.8076;1002.9051;1063.4876;2859.9013;0.0;0.0;-8.4023491e-16;-8.3183256e-16;0.0;0.0;0.0;0.0
2017-01-01 06:00:00;1202.8162;1250.9288;12.17616;12.663207;811.49169;803.37677;600.65845;594.65186;0.0;0.0;0.0;0.0;544.57199;408.429;4443.9456;3332.9592;156.93471;863.14088;1.5886569;8.7376127;392.13862;1044.3898;1091.8873;2913.7941;0.0;0.0;-8.4023491e-16;-8.3183256e-16;0.0;0.0;0.0;0.0
2017-01-01 07:00:00;1156.0123;1202.2528;12.17616;12.663207;796.3318;788.36849;591.49221;585.57729;0.0;0.0;0.0;0.0;544.57199;408.429;4861.8673;3646.4005;150.82808;829.55444;1.5886569;8.7376127;388.34392;1024.879;1083.5544;2869.3287;0.0;0.0;-8.4023491e-16;-8.3183256e-16;0.0;0.0;0.0;0.0
2017-01-01 08:00:00;1124.7767;1169.7678;12.17616;12.663207;783.48718;775.65231;582.82221;576.99399;0.0;0.0;0.0;0.0;544.57199;408.429;6714.5794;5035.9346;146.75268;807.13975;1.5886569;8.7376127;384.62781;1008.348;1069.2525;2827.2706;0.0;0.0;-8.4023491e-16;-8.3183256e-16;0.0;0.0;0.0;0.0
2017-01-01 09:00:00;1077.7959;1120.9077;12.17616;12.663207;738.31283;730.9297;550.29125;544.78834;0.0;0.0;0.0;0.0;544.57199;408.429;9606.3875;7204.7906;140.62297;773.42632;1.5886569;8.7376127;359.42301;950.20861;1003.6932;2669.4629;0.0;0.0;-8.4023491e-16;-8.3183256e-16;0.0;0.0;0.0;0.0
2017-01-01 10:00:00;1033.7903;1075.1419;12.17616;12.663207;703.85916;696.82057;525.80278;520.54475;0.0;0.0;0.0;0.0;544.57199;408.429;10896.009;8172.007;134.88144;741.84792;1.5886569;8.7376127;338.25878;905.86674;945.24415;2550.6693;0.0;0.0;-8.4023491e-16;-8.3183256e-16;0.0;0.0;0.0;0.0
2017-01-01 11:00:00;1002.0077;1042.0881;12.17616;12.663207;687.99063;681.11073;513.20344;508.07141;0.0;0.0;0.0;0.0;544.57199;408.429;10790.615;8092.961;130.73468;719.04076;1.5886569;8.7376127;327.30948;885.44394;908.61579;2489.5499;0.0;0.0;-8.4023491e-16;-8.3183256e-16;0.0;0.0;0.0;0.0
2017-01-01 12:00:00;984.84192;1024.2356;12.17616;12.663207;673.00147;666.27146;502.40136;497.37735;0.0;0.0;0.0;0.0;544.57199;408.429;9128.4663;6846.3497;128.49501;706.72256;1.5886569;8.7376127;317.17299;866.1529;883.39575;2437.149;0.0;0.0;-8.4023491e-16;-8.3183256e-16;0.0;0.0;0.0;0.0
2017-01-01 13:00:00;972.02551;1010.9065;12.17616;12.663207;649.2513;642.75879;482.59228;477.76636;0.0;0.0;0.0;0.0;544.57199;408.429;5616.4774;4212.3581;126.82282;697.52551;1.5886569;8.7376127;304.70181;835.58642;846.17682;2341.0552;0.0;0.0;-8.4023491e-16;-8.3183256e-16;0.0;0.0;0.0;0.0
2017-01-01 14:00:00;981.47664;1020.7357;12.17616;12.663207;652.69616;646.1692;484.27534;479.43259;0.0;0.0;0.0;0.0;544.57199;408.429;3878.4074;2908.8055;128.05593;704.30764;1.5886569;8.7376127;304.91043;840.01996;844.27758;2349.2197;0.0;0.0;-8.4023491e-16;-8.3183256e-16;0.0;0.0;0.0;0.0
