id_scal;scenario_key;name;var_name;carrier;region;tech;type;var_value;var_unit;source;comment
0;2050-el_eff;B-heat_central-gas_electricity_relation;electricity_gas_relation;heat_central;B;constraint;relation;0.69;;hirschl_berlin_2021;factor = electricity / gas
1;2050-el_eff;BB-heat_central-gas_electricity_relation;electricity_gas_relation;heat_central;BB;constraint;relation;0.69;;hirschl_berlin_2021;factor = electricity / gas
2;2050-el_eff;B-heat_decentral-gas_electricity_relation;electricity_gas_relation;heat_decentral;B;constraint;relation;1.3;;hirschl_berlin_2021;factor = electricity / gas
3;2050-el_eff;BB-heat_decentral-gas_electricity_relation;electricity_gas_relation;heat_decentral;BB;constraint;relation;4.9;;mellwig_langfristszenarien_2021;factor = electricity / gas
4;2050-base;TOTAL-emission-constraint;emissions_not_modeled;emission;TOTAL;constraint;limit;0.0;kg_CO2_eq/MWh;;No fossils in 2050 in the modelled sectors.
5;ALL;TOTAL-emission-constraint;emissions_1990;emission;TOTAL;constraint;limit;71188031171.0;kg_CO2_eq/MWh;umweltbundesamt_treibhausgas-emissionen_2022 statistikportal_umweltokonomische_2021 Umweltbundesamt2022 amt_fur_statistik_berlin-brandenburg_energie-_2021 amt_fur_statistik_berlin-brandenburg_energie-_2022 (beide letzten in Zotero);SN
6;reduction_100;TOTAL-emission-constraint;emission_reduction_factor;emission;TOTAL;constraint;limit;1.0;;;
7;ALL;BB-ch4-bpchp;output_parameters;ch4;B;bpchp;backpressure;"{""custom_attributes"": {""gas-heat_central-B"": 1}}";;;Keyword for electricity gas relation constraint. Leave empty to neglect the component in this constraint. Keywords of components powered by gas start with `config.settings.optimize.gas_key` and such powered with electricity with `config.settings.optimize.el_key` followed by `carrier` and `region` e.g. <`GAS_KEY`>-<carrier>-<region>.
8;ALL;B-ch4-bpchp;output_parameters;ch4;BB;bpchp;backpressure;"{""custom_attributes"": {""gas-heat_central-BB"": 1}}";;;Keyword for electricity gas relation constraint. Leave empty to neglect the component in this constraint. Keywords of components powered by gas start with `config.settings.optimize.gas_key` and such powered with electricity with `config.settings.optimize.el_key` followed by `carrier` and `region` e.g. <`GAS_KEY`>-<carrier>-<region>.
9;ALL;BB-h2-bpchp;output_parameters;h2;B;bpchp;backpressure;"{""custom_attributes"": {""gas-heat_central-B"": 1}}";;;Keyword for electricity gas relation constraint. Leave empty to neglect the component in this constraint. Keywords of components powered by gas start with `config.settings.optimize.gas_key` and such powered with electricity with `config.settings.optimize.el_key` followed by `carrier` and `region` e.g. <`GAS_KEY`>-<carrier>-<region>.
10;ALL;B-h2-bpchp;output_parameters;h2;BB;bpchp;backpressure;"{""custom_attributes"": {""gas-heat_central-BB"": 1}}";;;Keyword for electricity gas relation constraint. Leave empty to neglect the component in this constraint. Keywords of components powered by gas start with `config.settings.optimize.gas_key` and such powered with electricity with `config.settings.optimize.el_key` followed by `carrier` and `region` e.g. <`GAS_KEY`>-<carrier>-<region>.
11;ALL;;emission_limit;emission;;;;0.0;kg_CO2_eq;;
